"时间戳","主键ID","行业分类ID","监管企业大类","监管企业小类","粉尘种类","粉尘种类小类","集中除尘系统干式数量","集中除尘系统湿式数量","单班涉粉作业人数","钢铁企业json数据","高炉数量","高炉信息","转炉数量","转炉信息","电炉数量","电炉信息","煤气柜数量","煤气柜信息","氨罐数量","氨罐信息","铝加工企业json数据","深井浇筑系统数量","钢丝绳式提升装置数量","液压式提升装置数量","熔炼炉事故联锁装置","流槽及铸造系统事故联锁装置","存在附属污水处理设施设备企业","存在造纸企业","存在酱腌菜企业","删除标识","备注","上报历史id","所选设备","涉炉企业内容","粉尘涉爆企业内容","有限空间企业内容","钢铁企业内容","铝加工企业内容","危化品企业内容","创建人","修改人","创建时间","更新时间"
2025-06-19 20:12:58.000,"44c3762cd621438ba41a46f64aa1b6dc",,SUPE_CORP_B,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,b0bce88717334c48b47d3f8fc53ce97c,,,"{""danbanzuoyerenyuan"":""1"",""fenchenliang"":""2"",""fenchenzhonglei"":[""DUST_TYPE_32""],""ganshichuchenxitong"":""0"",""jindianji"":""0"",""mufenchenji"":""2"",""paoguangji"":"""",""pgssytj"":""0"",""pwpsj"":""0"",""qitazhonglei"":"""",""sfzyrs"":""2"",""shishichuchenxitong"":""4""}",,,,,admin,admin,2024-01-10 00:00:00.000,2024-01-10 00:00:00.000
2025-06-19 20:13:24.000,"44c3ae4774624a498a215cfc3b017757",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,e5c5a20a12fb45ab98072f7db3f6fdcf,,,,,,,,admin,admin,2024-01-17 00:00:00.000,2024-01-17 00:00:00.000
2025-06-19 20:13:21.000,"44c409cdbe614edfaff153aa9c6d3f24",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,c90a72ddbec84179ba11b40dc4efbcb6,,,,,,,,admin,admin,2025-01-16 00:00:00.000,2025-01-16 00:00:00.000
2025-06-19 20:13:31.000,"44c40da3070d4f5aaef71adb49efe0fa",,SUPE_CORP_H,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"12b316316b4546539b5a47849b05239d",,,,,,,"{""newWeihuaList"":[{""city"":""320500"",""county"":""320507"",""createTime"":1741333385000,""hazardousCount"":1,""hazardousDetailList"":[{""actualityPresence"":0.5,""cas"":""7440-37-1"",""chemicalName"":""氩[压缩的或液化的]"",""chemicalStatus"":""2"",""chemicalsKnowledge"":{""bh"":"""",""bzwx"":"""",""cczysx"":"""",""cjr"":"""",""czzysx"":"""",""fgxx"":"""",""fj"":"""",""flxx"":"""",""hjwh"":"""",""jkwh"":"""",""mbbh"":"""",""mc"":"""",""mhff"":"""",""orgId"":"""",""pfjc"":"""",""qrtj"":"""",""recorderId"":"""",""sfgz"":"""",""sfgzName"":"""",""sfwx"":"""",""sfyb"":"""",""sfybName"":"""",""sfyd"":"""",""sfydName"":"""",""sr"":"""",""whpbh"":"""",""wxtx"":"""",""wxxlb"":"""",""xgr"":"""",""xr"":"""",""yhrscw"":"""",""yjcl"":"""",""yjjc"":"""",""ywmc"":"""",""ywmc2"":"""",""ywxtbh"":""""},""createTime"":1741333385000,""criticalQuantity"":0,""dangerInfo"":"""",""id"":""8aae0732956f8cd501956f8ed0f0074f"",""isYazl"":"""",""purpose"":""5"",""reserves"":0,""storageType"":""3"",""storehouseType"":"""",""unitId"":""8aae0732956f8cd501956f8ed0ef074e"",""updateTime"":1741333385000,""yearUsage"":0}],""id"":""8aae0732956f8cd501956f8ed0ef074e"",""isYazl"":""0"",""province"":""320000"",""riskId"":""e58405dfc45048fa825f01e0f0a836c0"",""riskLevel"":""D"",""riskName"":""（100317）工业气体储存设施及其输送管线气体泄漏"",""sValue"":0,""seqNo"":1,""subdistrict"":""320507006"",""unitName"":""金属焊接区"",""updateTime"":1741333385000,""uuitNo"":""91320505MA1WF8A72P""},{""city"":""320500"",""county"":""320507"",""createTime"":1741333385000,""hazardousCount"":1,""hazardousDetailList"":[{""actualityPresence"":6,""cas"":""/"",""chemicalName"":""危废"",""chemicalStatus"":""1"",""chemicalsKnowledge"":{""bh"":"""",""bzwx"":"""",""cczysx"":"""",""cjr"":"""",""czzysx"":"""",""fgxx"":"""",""fj"":"""",""flxx"":"""",""hjwh"":"""",""jkwh"":"""",""mbbh"":"""",""mc"":"""",""mhff"":"""",""orgId"":"""",""pfjc"":"""",""qrtj"":"""",""recorderId"":"""",""sfgz"":"""",""sfgzName"":"""",""sfwx"":"""",""sfyb"":"""",""sfybName"":"""",""sfyd"":"""",""sfydName"":"""",""sr"":"""",""whpbh"":"""",""wxtx"":"""",""wxxlb"":"""",""xgr"":"""",""xr"":"""",""yhrscw"":"""",""yjcl"":"""",""yjjc"":"""",""ywmc"":"""",""ywmc2"":"""",""ywxtbh"":""""},""createTime"":1741333385000,""criticalQuantity"":0,""dangerInfo"":"""",""id"":""8aae0732956f8cd501956f8ed0f10751"",""isYazl"":"""",""purpose"":""100"",""reserves"":0,""storageType"":""3"",""storehouseType"":"""",""unitId"":""8aae0732956f8cd501956f8ed0f00750"",""updateTime"":1741333385000,""yearUsage"":0}],""id"":""8aae0732956f8cd501956f8ed0f00750"",""isYazl"":""0"",""province"":""320000"",""riskId"":""131b77ccc6fe4736b48fa767abe1508b"",""riskLevel"":""D"",""riskName"":""（100311）储存场所危险化学品泄漏"",""sValue"":0,""seqNo"":2,""subdistrict"":""320507006"",""unitName"":""危废库"",""updateTime"":1741333385000,""uuitNo"":""91320505MA1WF8A72P""}],""weihuaList"":[]}",admin,admin,2025-03-10 00:00:00.000,2025-03-10 00:00:00.000
2025-06-19 20:13:21.000,"44c482ea3edb4b54bc420e70eb629510",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,c25768187edd4c77be29fab934ca2e78,,,,,,,,admin,admin,2022-02-11 00:00:00.000,2022-02-11 00:00:00.000
2025-06-19 20:13:24.000,"44c4beb66c06482c9839ad2cf9eb0675",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,e959da52e08c43a0ba8476a122842763,,,,,,,,admin,admin,2023-02-03 00:00:00.000,2023-02-03 00:00:00.000
2025-06-19 20:13:12.000,"44c53e84c45840eca0b2dce7a39c3974",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"6d2dfa4c004b4f63bd9b645098edbf91",,,,,,,,admin,admin,2024-05-28 00:00:00.000,2024-05-28 00:00:00.000
2025-06-19 20:13:23.000,"44c567a28a994056bcbe129f5be99b5e",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,d8a2683ae61d49ce8f6597cc585bb11e,,,,,,,,admin,admin,2024-01-12 00:00:00.000,2024-01-12 00:00:00.000
2025-06-19 20:13:03.000,"44c577c8d4e448cb9a69ee3931edcf3b",,SUPE_CORP_C,,,,,,,"{""dianluList"":[{""typeNum"":"""",""typeSpec"":""""}],""gaoluList"":[{""typeNum"":"""",""typeSpec"":""""}],""meiqiList"":[{""typeNum"":"""",""typeSpec"":""""}],""zhuanluList"":[{""typeNum"":"""",""typeSpec"":""""}]}",0,,0,,0,,,,0,,"{""gudingshiList"":[{""typeNum"":"""",""typeSpec"":""""}],""qidongshiList"":[{""typeNum"":"""",""typeSpec"":""""}]}",,,,,,,,,"0",,"3b5e28de8431455180210e3ac696adf3",,,,"{""chulishebeiList"":[{""unitOne"":""0"",""unitThree"":"""",""unitTwo"":""0""},{""unitOne"":""分条机地坑"",""unitThree"":"""",""unitTwo"":""1""}],""ifzuoye"":""1"",""youxiankongjianNum"":""1""}",,,,admin,admin,2022-01-21 00:00:00.000,2022-01-21 00:00:00.000
2025-06-19 20:13:10.000,"44c587ed10a343b1833a4733da9ca8ba",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"55c1c03b993f42cdad72089e452e5b07",,,,,,,,admin,admin,2024-06-26 00:00:00.000,2024-06-26 00:00:00.000
2025-06-19 20:12:57.000,"44c610c7172e4614b7e89bff59f6c5b3",,SUPE_CORP_B,,DUST_TYPE_39,,"1","0","2","{""dianluList"":[{""typeNum"":"""",""typeSpec"":""""}],""gaoluList"":[{""typeNum"":"""",""typeSpec"":""""}],""meiqiList"":[{""typeNum"":"""",""typeSpec"":""""}],""zhuanluList"":[{""typeNum"":"""",""typeSpec"":""""}]}",0,,0,,0,,0,,0,,"{""gudingshiList"":[{""typeNum"":"""",""typeSpec"":""""}],""qidongshiList"":[{""typeNum"":"""",""typeSpec"":""""}]}",,,,,,,,,"0",,"2392f441ac36416f889e5aeec49ab9dc",,,"{""danbanzuoyerenyuan"":""1"",""fenchenliang"":""100"",""fenchenzhonglei"":[""DUST_TYPE_32""],""ganshichuchenxitong"":""1"",""jindianji"":""1"",""mufenchenji"":""0"",""paoguangji"":""0"",""shishichuchenxitong"":""0""}",,,,,admin,admin,2022-01-24 00:00:00.000,2022-01-24 00:00:00.000
2025-06-19 20:13:05.000,"44c6485e51b24d08841b0023dab71c23",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"0b30269282fd4baab9d4fadff9ea0d7f",,,,,,,,admin,admin,2024-02-22 00:00:00.000,2024-02-22 00:00:00.000
2025-06-19 20:13:08.000,"44c653f9071649dd8c33760b717eed7b",,SUPE_CORP_E,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"3c0ca76bcec94d0c92e2ba35c82bae3b",,,,,,,,admin,admin,2025-02-12 00:00:00.000,2025-02-12 00:00:00.000
2025-06-19 20:12:58.000,"44c65b529b844ae4b50887f52e3679b6",,SUPE_CORP_B,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,,"0",,"73cd03321b264467b1c4b64c5f85a3e6",,,"{""danbanzuoyerenyuan"":""1"",""fenchenliang"":""56"",""fenchenzhonglei"":[""DUST_TYPE_32""],""ganshichuchenxitong"":""1"",""jindianji"":""1"",""mufenchenji"":""0"",""paoguangji"":"""",""pgssytj"":""1"",""pwpsj"":""1"",""qitazhonglei"":"""",""sfzyrs"":""2"",""shishichuchenxitong"":""0""}",,,,,admin,admin,2025-02-10 00:00:00.000,2025-02-10 00:00:00.000
